Journal Name,JIF 2024
ASME OPEN JOURNAL OF ENGINEERING,1.4
BIOTECHNOLOGY and BIOTECHNOLOGICAL EQUIPMENT,1.4
ECHOCARDIOGRAPHY A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,1.4
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,1.4
JOURNAL OF CLINICAL ULTRASOUND,1.4
MAGNETIC RESONANCE IN CHEMISTRY,1.4
REVISTA DE INVESTIGACION CLINICA CLINICAL AND TRANSLATIONAL INVESTIGATION,1.4
REVISTA ICONO 14 REVISTA CIENTIFICA DE COMUNICACION Y TECNOLOGIAS,1.4
JOURNAL OF BUSINESS and FINANCE LIBRARIANSHIP,1.4
JOURNAL OF INVASIVE CARDIOLOGY,1.4
MOLECULAR CYTOGENETICS,1.4
PAPERS IN PHYSICS,1.4
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS STRUCTURES AND BUILDINGS,1.4
CARDIOLOGY RESEARCH,1.4
CLINICAL MEDICINE and RESEARCH,1.4
CURRENT GENOMICS,1.4
DIABETES EPIDEMIOLOGY AND MANAGEMENT,1.4
ECONOMIC NOTES,1.4
IEEE COMPUTER ARCHITECTURE LETTERS,1.4
INDIAN GEOTECHNICAL JOURNAL,1.4
INTERNATIONAL JOURNAL OF HEPATOLOGY,1.4
INTERNATIONAL JOURNAL OF LEARNING AND INTELLECTUAL CAPITAL,1.4
JOURNAL OF HEURISTICS,1.4
MEDITERRANEAN JOURNAL OF RHEUMATOLOGY,1.4
REVISTA CHILENA DE HISTORIA NATURAL,1.4
TRANSFUSION MEDICINE,1.4
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,1.4
ASTROPHYSICAL BULLETIN,1.4
BIOPRESERVATION AND BIOBANKING,1.4
CLEAN SOIL AIR WATER,1.4
CURRENT SPORTS MEDICINE REPORTS,1.4
DATA IN BRIEF,1.4
DEVELOPMENT IN PRACTICE,1.4
IET NETWORKS,1.4
INTERNATIONAL JOURNAL OF FOOD ENGINEERING,1.4
JOURNAL OF LOCATION BASED SERVICES,1.4
JOURNAL OF PRESSURE VESSEL TECHNOLOGY TRANSACTIONS OF THE ASME,1.4
JOURNAL OF TOURISM SUSTAINABILITY AND WELL BEING,1.4
NEW ZEALAND JOURNAL OF BOTANY,1.4
PHYSICAL GEOGRAPHY,1.4
SA JOURNAL OF HUMAN RESOURCE MANAGEMENT,1.4
SOUTH AFRICAN JOURNAL OF ACCOUNTING RESEARCH,1.4
IET SIGNAL PROCESSING,1.4
INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING,1.4
JOURNAL OF DYNAMIC BEHAVIOR OF MATERIALS,1.4
PSYCHIATRIC GENETICS,1.4
REVIEW OF FINANCIAL ECONOMICS,1.4
TOP,1.4
COLOR RESEARCH AND APPLICATION,1.4
JOURNAL OF APPLIED GLYCOSCIENCE,1.4
JOURNAL OF APPLIED REMOTE SENSING,1.4
JOURNAL OF MACROMOLECULAR SCIENCE PART B PHYSICS,1.4
JOURNAL OF SPORT FOR DEVELOPMENT,1.4
MANUFACTURING TECHNOLOGY,1.4
MOLECULAR and CELLULAR TOXICOLOGY,1.4
POSTEPY W KARDIOLOGII INTERWENCYJNEJ,1.4
BIOTECHNIC and HISTOCHEMISTRY,1.4
EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,1.4
FRONTIERS IN NUCLEAR MEDICINE,1.4
IEEE MAGNETICS LETTERS,1.4
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1.4
JOURNAL OF STRUCTURAL CHEMISTRY,1.4
JOURNAL OF TROPICAL METEOROLOGY,1.4
MOLECULAR AND CLINICAL ONCOLOGY,1.4
NATURAL PRODUCT COMMUNICATIONS,1.4
SOLID STATE ELECTRONICS,1.4
ACTA PHYSICA POLONICA B,1.4
INTERNATIONAL JOURNAL OF STEEL STRUCTURES,1.4
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH,1.4
JOURNAL OF PHILANTHROPY AND MARKETING,1.4
MEDIZINISCHE GENETIK,1.4
MIRES AND PEAT,1.4
PETROLEUM SCIENCE AND TECHNOLOGY,1.4
APPLIED EARTH SCIENCE TRANSACTIONS OF THE INSTITUTIONS OF MINING AND METALLURGY,1.4
JOURNAL OF CLINICAL AND EXPERIMENTAL HEMATOPATHOLOGY,1.4
JOURNAL OF ENGINEERING THERMOPHYSICS,1.4
JOURNAL OF MEDIA BUSINESS STUDIES,1.4
STRATEGIC MANAGEMENT,1.4
AIP ADVANCES,1.4
ARP RHEUMATOLOGY,1.4
INTEGRATIVE BIOLOGY,1.4
BIOREMEDIATION JOURNAL,1.4
JOURNAL OF LOW TEMPERATURE PHYSICS,1.4
KOREAN JOURNAL OF METALS AND MATERIALS,1.4
OZONE SCIENCE and ENGINEERING,1.4
SOFT MATERIALS,1.4
TURKISH JOURNAL OF PHYSICS,1.4
MEDICAL LETTER ON DRUGS AND THERAPEUTICS,1.4
POLIMEROS CIENCIA E TECNOLOGIA,1.4
STRUCTURAL ENGINEERING INTERNATIONAL,1.4
CARDIOVASCULAR INNOVATIONS AND APPLICATIONS,1.4
JOURNAL OF GLOBAL ENTREPRENEURSHIP RESEARCH,1.4
TRANSLATIONAL BREAST CANCER RESEARCH,1.4
ANIMAL BIODIVERSITY AND CONSERVATION,1.4
CIRIEC ESPANA REVISTA DE ECONOMIA PUBLICA SOCIAL Y COOPERATIVA,1.4
SAE INTERNATIONAL JOURNAL OF ELECTRIFIED VEHICLES,1.4
VIETNAM JOURNAL OF CHEMISTRY,1.4
ECONOMIA JOURNAL OF THE LATIN AMERICAN AND CARIBBEAN ECONOMIC ASSOCIATION,1.4
INTERNATIONAL JOURNAL OF CHEMICAL REACTOR ENGINEERING,1.4
QUANTITATIVE BIOLOGY,1.4
TURKISH JOURNAL OF CHEMISTRY,1.4
CATRINA THE INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCES,1.4
ELECTROCHEMICAL SOCIETY INTERFACE,1.4
INTELLIGENZA ARTIFICIALE,1.4
POLITYKA ENERGETYCZNA ENERGY POLICY JOURNAL,1.4
SERBIAN ASTRONOMICAL JOURNAL,1.4
HETEROATOM CHEMISTRY,1.4
KINETICS AND CATALYSIS,1.4
JOURNAL OF COMBUSTION,1.4
BIOCHEMISTRY MOSCOW SUPPLEMENT SERIES A MEMBRANE AND CELL BIOLOGY,1.4
ORAL HISTORY REVIEW,1.3
SIGN SYSTEMS STUDIES,1.3
TOPOI AN INTERNATIONAL REVIEW OF PHILOSOPHY,1.3
PHILOSOPHICAL STUDIES,1.3
SYNTHESE,1.3
CULTURAL TRENDS,1.3
PHILOSOPHICAL PAPERS,1.3
PSYCHOANALYTIC QUARTERLY,1.3
NOTRE DAME LAW REVIEW,1.3
HUMAN RIGHTS REVIEW,1.3
JOURNAL OF EMPIRICAL LEGAL STUDIES,1.3
INTERNATIONAL JOURNAL OF HUMAN RIGHTS,1.3
JOURNAL OF PALESTINE STUDIES,1.3
JOURNAL OF LAW AND COURTS,1.3
TRABAJOS DE PREHISTORIA,1.3
BRITISH JOURNAL OF LEARNING DISABILITIES,1.3
JOURNAL OF FUNCTION SPACES,1.3
ETHNOARCHAEOLOGY,1.3
JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE,1.3
JOURNAL OF THE INDIAN OCEAN REGION,1.3
ARGUMENTATION,1.3
PSYCHOANALYTIC DIALOGUES,1.3
JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,1.3
LABORATORY PHONOLOGY,1.3
JOURNAL OF SOCIAL ARCHAEOLOGY,1.3
LINGUISTICS AND PHILOSOPHY,1.3
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,1.3
JOURNAL OF MATHEMATICS,1.3
JOURNAL OF APPLIED MATHEMATICS AND COMPUTATIONAL MECHANICS,1.3
JOURNAL OF ETHNOBIOLOGY,1.3
LANGUAGE ACQUISITION,1.3
HIGH ABILITY STUDIES,1.3
JOURNAL OF POLITICAL POWER,1.3
LINGUA,1.3
URBAN MORPHOLOGY,1.3
CALCOLO,1.3
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,1.3
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA CLASSE DI SCIENZE,1.3
GEUS BULLETIN,1.3
JOURNAL OF LAW ECONOMICS and ORGANIZATION,1.3
WISCONSIN LAW REVIEW,1.3
YOUNG,1.3
ENGINEERING STUDIES,1.3
NONLINEAR ANALYSIS THEORY METHODS and APPLICATIONS,1.3
FEMINIST THEORY,1.3
INTERNATIONAL JOURNAL OF LAW IN CONTEXT,1.3
JOURNAL OF ENGLISH LINGUISTICS,1.3
BEHAVIORAL SCIENCES and THE LAW,1.3
JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS,1.3
RESULTS IN APPLIED MATHEMATICS,1.3
GLOBAL SOCIAL WELFARE,1.3
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,1.3
WORLD ENGLISHES,1.3
ANUARIO DE PSICOLOGIA JURIDICA,1.3
CRIMINOLOGY and CRIMINAL JUSTICE,1.3
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,1.3
INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,1.3
INTERNATIONAL PEACEKEEPING,1.3
INTERNATIONAL RELATIONS OF THE ASIA PACIFIC,1.3
ALTERNATIVE AN INTERNATIONAL JOURNAL OF INDIGENOUS PEOPLES,1.3
BUSINESS HISTORY,1.3
ARDEA,1.3
ORL JOURNAL FOR OTO RHINO LARYNGOLOGY HEAD AND NECK SURGERY,1.3
ESPIRAL CUADERNOS DEL PROFESORADO,1.3
SECOND LANGUAGE RESEARCH,1.3
JOURNAL OF MARITIME ARCHAEOLOGY,1.3
MALAYSIAN JOURNAL OF MATHEMATICAL SCIENCES,1.3
ETHNICITIES,1.3
INTERNATIONAL JOURNAL OF DISABILITY DEVELOPMENT AND EDUCATION,1.3
JOURNAL OF PSEUDO DIFFERENTIAL OPERATORS AND APPLICATIONS,1.3
DEMOCRACY and SECURITY,1.3
INNOVATION THE EUROPEAN JOURNAL OF SOCIAL SCIENCE RESEARCH,1.3
JOURNAL OF CHILDRENS SERVICES,1.3
DYNAMICS OF ASYMMETRIC CONFLICT,1.3
ZOOKEYS,1.3
COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS,1.3
CONTEMPORARY SCHOOL PSYCHOLOGY,1.3
INTERNATIONAL JOURNAL OF GROUP THEORY,1.3
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,1.3
ANTHROPOLOGY and EDUCATION QUARTERLY,1.3
ARTHROPOD STRUCTURE and DEVELOPMENT,1.3
CLINICS IN LABORATORY MEDICINE,1.3
AFRICAN SECURITY,1.3
CRITICAL STUDIES ON SECURITY,1.3
JOURNAL OF VETERINARY CARDIOLOGY,1.3
ADULT LEARNING,1.3
COMMUNICATIONS IN MATHEMATICAL SCIENCES,1.3
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B,1.3
EDUCATIONAL STUDIES AESA,1.3
INTERNATIONAL JOURNAL OF EARLY YEARS EDUCATION,1.3
INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,1.3
JOURNAL OF CRIMINAL LAW and CRIMINOLOGY,1.3
LEADERSHIP AND POLICY IN SCHOOLS,1.3
RATIONALITY AND SOCIETY,1.3
SCANDINAVIAN JOURNAL OF OCCUPATIONAL THERAPY,1.3
AMERICAN JOURNAL OF DISTANCE EDUCATION,1.3
AMPHIBIA REPTILIA,1.3
INTERNATIONAL JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,1.3
PRACTICAL LABORATORY MEDICINE,1.3
SOCIOLOGICAL RESEARCH ONLINE,1.3
APPLIED MATHEMATICS A JOURNAL OF CHINESE UNIVERSITIES SERIES B,1.3
FAMILY and COMMUNITY HEALTH,1.3
JOURNAL OF RESEARCH IN CHILDHOOD EDUCATION,1.3
MENTAL LEXICON,1.3
NURSE RESEARCHER,1.3
POLAR POLITICAL AND LEGAL ANTHROPOLOGY REVIEW,1.3
CARBONATES AND EVAPORITES,1.3
DISCRETE ANALYSIS,1.3
FRONTIERS IN HUMAN DYNAMICS,1.3
ISSUES IN EDUCATIONAL RESEARCH,1.3
JOURNAL OF NEMATOLOGY,1.3
MATHEMATICS EDUCATION RESEARCH JOURNAL,1.3
SCANDINAVIAN JOURNAL OF DISABILITY RESEARCH,1.3
TRAUMATOLOGY,1.3
COMPTES RENDUS PALEVOL,1.3
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,1.3
JOURNAL OF EARLY CHILDHOOD LITERACY,1.3
JOURNAL OF HOSPICE and PALLIATIVE NURSING,1.3
OFIOLITI,1.3
PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,1.3
QUANTITATIVE METHODS FOR PSYCHOLOGY,1.3
ACTA ORNITHOLOGICA,1.3
ACTA ZOOLOGICA,1.3
AUSTRALIAN JOURNAL OF POLITICAL SCIENCE,1.3
COMMUNICATION STUDIES,1.3
COMMUNIST AND POST COMMUNIST STUDIES,1.3
INTERNATIONAL REVIEW OF SOCIOLOGY REVUE INTERNATIONALE DE SOCIOLOGIE,1.3
NOVUM JUS,1.3
AUDIOLOGY AND NEUROTOLOGY,1.3
FOUNDATIONS AND TRENDS IN NETWORKING,1.3
REHABILITATION COUNSELING BULLETIN,1.3
REICE REVISTA IBEROAMERICANA SOBRE CALIDAD EFICACIA Y CAMBIO EN EDUCACION,1.3
ETHOS,1.3
JOURNAL OF CHINESE SOCIOLOGY,1.3
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,1.3
VETERINARY SURGERY,1.3
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,1.3
HSS JOURNAL,1.3
INFECTIOUS DISEASES and IMMUNITY,1.3
JOURNAL OF EMERGENCY MEDICINE,1.3
RED REVISTA DE EDUCACION A DISTANCIA,1.3
TEST,1.3
BRAIN and DEVELOPMENT,1.3
CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,1.3
COMPUTATIONAL MANAGEMENT SCIENCE,1.3
CRIME LAW AND SOCIAL CHANGE,1.3
NORA NORDIC JOURNAL OF FEMINIST AND GENDER RESEARCH,1.3
PEDIATRIC EXERCISE SCIENCE,1.3
EGYPTIAN JOURNAL OF FORENSIC SCIENCES,1.3
JOURNAL OF CRANIOVERTEBRAL JUNCTION AND SPINE,1.3
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C APPLIED STATISTICS,1.3
OBSTETRICS AND GYNECOLOGY INTERNATIONAL,1.3
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,1.3
POLITICS GROUPS AND IDENTITIES,1.3
SUBTERRANEAN BIOLOGY,1.3
AUSTRALIAN ECONOMIC HISTORY REVIEW,1.3
DIATOM RESEARCH,1.3
HNO,1.3
INTERNATIONAL JOURNAL OF GAME BASED LEARNING,1.3
JOURNAL OF ASIA PACIFIC ENTOMOLOGY,1.3
PALAEOBIODIVERSITY AND PALAEOENVIRONMENTS,1.3
PUBLIC HEALTH NURSING,1.3
ECOLOGY OF FRESHWATER FISH,1.3
JOURNAL OF GEOLOGY,1.3
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,1.3
REGIONAL STATISTICS,1.3
ACADEMIC PATHOLOGY,1.3
ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITA,1.3
BRAZILIAN ORAL RESEARCH,1.3
BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND,1.3
EDUCATION CITIZENSHIP AND SOCIAL JUSTICE,1.3
ELECTRONIC JOURNAL OF STATISTICS,1.3
JOURNAL FOR MULTICULTURAL EDUCATION,1.3
JOURNAL OF ADULT AND CONTINUING EDUCATION,1.3
JOURNAL OF INTERCULTURAL STUDIES,1.3
JOURNAL OF VECTOR ECOLOGY,1.3
NUCLEAR SCIENCE AND ENGINEERING,1.3
ORAL AND MAXILLOFACIAL SURGERY CLINICS OF NORTH AMERICA,1.3
PURE AND APPLIED ANALYSIS,1.3
TOPICS IN COMPANION ANIMAL MEDICINE,1.3
ADVANCES IN APPLIED MATHEMATICS,1.3
AMPHIBIAN and REPTILE CONSERVATION,1.3
ECONOMIC AND LABOUR RELATIONS REVIEW,1.3
EUROPEAN JOURNAL OF HEALTH PSYCHOLOGY,1.3
JOURNAL OF AAPOS,1.3
JOURNAL OF FOOT and ANKLE SURGERY,1.3
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,1.3
EUROPEAN JOURNAL OF TAXONOMY,1.3
FISCAL STUDIES,1.3
GLOBAL PEDIATRIC HEALTH,1.3
INTERNATIONAL JOURNAL OF BIOMEDICAL IMAGING,1.3
JOURNAL ON EFFICIENCY AND RESPONSIBILITY IN EDUCATION AND SCIENCE,1.3
LABORATORY ANIMALS,1.3
MATHEMATICAL POPULATION STUDIES,1.3
PALYNOLOGY,1.3
PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,1.3
STATISTICS IN BIOPHARMACEUTICAL RESEARCH,1.3
TURKISH JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION,1.3
ACTA CIRURGICA BRASILEIRA,1.3
ANALES DE PSICOLOGIA,1.3
AVIAN DISEASES,1.3
CLEFT PALATE CRANIOFACIAL JOURNAL,1.3
HISTORICAL BIOLOGY,1.3
JOURNAL OF PERINATAL and NEONATAL NURSING,1.3
VETERINARY OPHTHALMOLOGY,1.3
ACTA ETHOLOGICA,1.3
CRIMINAL BEHAVIOUR AND MENTAL HEALTH,1.3
HEALTH PSYCHOLOGY OPEN,1.3
JOURNAL OF EARLY CHILDHOOD TEACHER EDUCATION,1.3
REVISTA LATINO AMERICANA DE ENFERMAGEM,1.3
AUSTRALIAN JOURNAL OF ADVANCED NURSING,1.3
CURRENT GENETIC MEDICINE REPORTS,1.3
INTERNATIONAL JOURNAL OF PEDIATRICS,1.3
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,1.3
JOURNAL OF SCIENCE IN SPORT AND EXERCISE,1.3
RUMINANTS,1.3
SCIENCE EDITING,1.3
ANNALS OF HUMAN BIOLOGY,1.3
CIRUGIA ESPANOLA,1.3
CORPORA,1.3
GERONTOLOGY and GERIATRICS EDUCATION,1.3
JOURNAL OF COSMETIC AND LASER THERAPY,1.3
ANESTHESIOLOGY RESEARCH AND PRACTICE,1.3
APUNTS SPORTS MEDICINE,1.3
AUSTRALIAN JOURNAL OF PRIMARY HEALTH,1.3
CZECH JOURNAL OF ANIMAL SCIENCE,1.3
HUMAN ANIMAL INTERACTIONS,1.3
INTERDISCIPLINARY CARDIOVASCULAR AND THORACIC SURGERY,1.3
INTERNATIONAL JOURNAL OF SPELEOLOGY,1.3
JOURNAL OF HUMAN DEVELOPMENT AND CAPABILITIES,1.3
JOURNAL OF MOLECULAR SPECTROSCOPY,1.3
JOURNAL OF ORAL IMPLANTOLOGY,1.3
CANADIAN GEOGRAPHIES GEOGRAPHIES CANADIENNES,1.3
JOURNAL OF EDUCATION AND HEALTH PROMOTION,1.3
JOURNAL OF PEACE EDUCATION,1.3
NUCLEAR INSTRUMENTS and METHODS IN PHYSICS RESEARCH SECTION B BEAM INTERACTIONS WITH MATERIALS AND ATOMS,1.3
NURSING SCIENCE QUARTERLY,1.3
RADIOCARBON,1.3
REVISTA DA ESCOLA DE ENFERMAGEM DA USP,1.3
SPORT SCIENCES FOR HEALTH,1.3
BERLINER JOURNAL FUR SOZIOLOGIE,1.3
CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,1.3
GYNECOLOGIC ONCOLOGY REPORTS,1.3
JOURNAL OF MATHEMATICAL FLUID MECHANICS,1.3
MATHEMATICS IN ENGINEERING,1.3
OMEGA JOURNAL OF DEATH AND DYING,1.3
PLANT PRODUCTION SCIENCE,1.3
PSYCHOLOGY OF LEADERS AND LEADERSHIP,1.3
STRATEGIES IN TRAUMA AND LIMB RECONSTRUCTION,1.3
UROLOGIA INTERNATIONALIS,1.3
ACTA CRYSTALLOGRAPHICA SECTION B STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,1.3
ANNALS OF DERMATOLOGY,1.3
ARTHROPOD PLANT INTERACTIONS,1.3
BIOLOGY METHODS and PROTOCOLS,1.3
CURRENT EMERGENCY AND HOSPITAL MEDICINE REPORTS,1.3
CURRENT TREATMENT OPTIONS IN RHEUMATOLOGY,1.3
EMERGENCY RADIOLOGY,1.3
JORNAL BRASILEIRO DE NEFROLOGIA,1.3
KYKLOS,1.3
REVIEWS IN MATHEMATICAL PHYSICS,1.3
AMERICAN JOURNAL OF MEDICAL QUALITY,1.3
ANNALS OF CARDIAC ANAESTHESIA,1.3
ARCHIVIO ITALIANO DI UROLOGIA E ANDROLOGIA,1.3
COUNSELLING and PSYCHOTHERAPY RESEARCH,1.3
CUTANEOUS AND OCULAR TOXICOLOGY,1.3
INVESTIGACION Y EDUCACION EN ENFERMERIA,1.3
JOURNAL OF APPLIED MATHEMATICS,1.3
JOURNAL OF OCEANOLOGY AND LIMNOLOGY,1.3
MEDICAL MYCOLOGY CASE REPORTS,1.3
PROCESAMIENTO DEL LENGUAJE NATURAL,1.3
ECONOMIC INQUIRY,1.3
HOMEOPATHY,1.3
JOURNAL OF CANCER EDUCATION,1.3
NETWORKS AND HETEROGENEOUS MEDIA,1.3
NORTH AMERICAN JOURNAL OF AQUACULTURE,1.3
ECONOMIC BOTANY,1.3
EXPERIMENTAL AGING RESEARCH,1.3
INTERNATIONAL JOURNAL OF GEOTECHNICAL ENGINEERING,1.3
JOURNAL OF CARDIAC SURGERY,1.3
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,1.3
ANNALS OF THORACIC AND CARDIOVASCULAR SURGERY,1.3
JOURNAL OF NERVOUS AND MENTAL DISEASE,1.3
JOURNAL OF PROBABILITY AND STATISTICS,1.3
LIMNETICA,1.3
NUCLEAR MEDICINE COMMUNICATIONS,1.3
PARASITES HOSTS AND DISEASES,1.3
PLANT BIOSYSTEMS,1.3
SA JOURNAL OF INDUSTRIAL PSYCHOLOGY,1.3
SKIN APPENDAGE DISORDERS,1.3
TURKISH JOURNAL OF OBSTETRICS AND GYNECOLOGY,1.3
WORLD JOURNAL OF PEDIATRIC SURGERY,1.3
ANNALES HENRI POINCARE,1.3
MILITARY PSYCHOLOGY,1.3
PALLIATIVE MEDICINE REPORTS,1.3
PSYCH JOURNAL,1.3
REVISTA BRASILEIRA DE ENTOMOLOGIA,1.3
TECHNIQUES IN VASCULAR AND INTERVENTIONAL RADIOLOGY,1.3
WORLD RABBIT SCIENCE,1.3
ACUTE MEDICINE and SURGERY,1.3
ADAPTIVE BEHAVIOR,1.3
BOTANY LETTERS,1.3
CURRENT UROLOGY,1.3
IET SOFTWARE,1.3
IISE TRANSACTIONS ON HEALTHCARE SYSTEMS ENGINEERING,1.3
INTERNATIONAL JOURNAL OF POLITICAL ECONOMY,1.3
JOURNAL FOR HEALTHCARE QUALITY,1.3
JOURNAL OF NUCLEAR MEDICINE TECHNOLOGY,1.3
JOURNAL OF PALEOLIMNOLOGY,1.3
OCULAR ONCOLOGY AND PATHOLOGY,1.3
SPE PRODUCTION and OPERATIONS,1.3
THEORETICAL ECONOMICS,1.3
WORLD MEDICAL and HEALTH POLICY,1.3
ZEITSCHRIFT FUR GEOMORPHOLOGIE,1.3
DERMATOLOGY REPORTS,1.3
GENERAL PHYSIOLOGY AND BIOPHYSICS,1.3
GENERAL THORACIC AND CARDIOVASCULAR SURGERY,1.3
JOURNAL OF APPLIED BIOMECHANICS,1.3
NATIONAL TAX JOURNAL,1.3
PEDAGOGIES,1.3
STATISTICAL THEORY AND RELATED FIELDS,1.3
AIMS AGRICULTURE AND FOOD,1.3
ECOSCIENCE,1.3
HORTTECHNOLOGY,1.3
INFORMATION TECHNOLOGY AND LIBRARIES,1.3
INTERNATIONAL JOURNAL OF AEROACOUSTICS,1.3
REPRODUCTIVE MEDICINE,1.3
SERVICE SCIENCE,1.3
GENETICA,1.3
INDIAN JOURNAL OF DERMATOLOGY,1.3
INTERNATIONAL ECONOMIC REVIEW,1.3
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,1.3
JOURNAL OF ASTHMA,1.3
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,1.3
MINERVA CARDIOLOGY AND ANGIOLOGY,1.3
RADIATION EFFECTS AND DEFECTS IN SOLIDS,1.3
REAL TIME SYSTEMS,1.3
ACTA GEOCHIMICA,1.3
ADVANCES IN SCIENCE AND TECHNOLOGY RESEARCH JOURNAL,1.3
ADVANCES IN TRADITIONAL MEDICINE,1.3
BMJ LEADER,1.3
ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,1.3
EXPERIMENTAL PSYCHOLOGY,1.3
GLOBAL ADVANCES IN INTEGRATIVE MEDICINE AND HEALTH,1.3
INTERNATIONAL JOURNAL OF CLOTHING SCIENCE AND TECHNOLOGY,1.3
NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ NAPOCA,1.3
PEDIATRIC NEUROSURGERY,1.3
TELLUS SERIES A DYNAMIC METEOROLOGY AND OCEANOGRAPHY,1.3
ACTA AGROBOTANICA,1.3
APPLIED ECONOMICS LETTERS,1.3
APPLIED FOOD BIOTECHNOLOGY,1.3
ENVIRONMENTAL ECONOMICS,1.3
FARMACIA,1.3
GLOBAL HEALTH PROMOTION,1.3
HISTORICAL STUDIES IN EDUCATION CANADA,1.3
HUMAN SYSTEMS MANAGEMENT,1.3
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,1.3
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL TRANSACTIONS OF THE ASME,1.3
MICROGRAVITY SCIENCE AND TECHNOLOGY,1.3
OPEN GEOSCIENCES,1.3
PLANT ECOLOGY AND EVOLUTION,1.3
ADVANCES IN INTEGRATIVE MEDICINE,1.3
DISCOVER SOCIAL SCIENCE AND HEALTH,1.3
INTERNATIONAL HEART JOURNAL,1.3
INTERNATIONAL JOURNAL OF PRISONER HEALTH,1.3
MIDDLE EAST FERTILITY SOCIETY JOURNAL,1.3
REUMATOLOGIA CLINICA,1.3
THEORETICAL POPULATION BIOLOGY,1.3
WSPOLCZESNA ONKOLOGIA CONTEMPORARY ONCOLOGY,1.3
AMERICAN JOURNAL OF LIFESTYLE MEDICINE,1.3
CURRENT RHEUMATOLOGY REVIEWS,1.3
ECOLOGY OF FOOD AND NUTRITION,1.3
INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,1.3
INTERNATIONAL JOURNAL OF PRODUCTION MANAGEMENT AND ENGINEERING,1.3
JETP LETTERS,1.3
NEW ZEALAND MEDICAL JOURNAL,1.3
RAMBAM MAIMONIDES MEDICAL JOURNAL,1.3
SLEEP AND BIOLOGICAL RHYTHMS,1.3
STAR PROTOCOLS,1.3
USPEKHI FIZIKI METALLOV PROGRESS IN PHYSICS OF METALS,1.3
ANNALS OF THE MISSOURI BOTANICAL GARDEN,1.3
CHEMOECOLOGY,1.3
CHROMATOGRAPHIA,1.3
CLINICAL AND EXPERIMENTAL VACCINE RESEARCH,1.3
CUREUS JOURNAL OF MEDICAL SCIENCE,1.3
HUMAN GENOME VARIATION,1.3
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,1.3
INTERNATIONAL JOURNAL OF IMAGE AND DATA FUSION,1.3
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1.3
JOURNAL OF CHROMATOGRAPHIC SCIENCE,1.3
